uf,geocode,regional,regional_geocode,macroregional,macroregional_geocode
SC,4208450,Nordeste,42011,Planalto Norte e Nordeste,4211
SC,4216206,Nordeste,42011,Planalto Norte e Nordeste,4211
SC,4218509,Meio Oeste,42008,Meio Oeste e Serra Catarinense,4212
SC,4216404,Extremo Sul Catarinense,42014,Sul,4210
SC,4201307,Nordeste,42011,Planalto Norte e Nordeste,4211
SC,4204178,Serra Catarinense,42013,Meio Oeste e Serra Catarinense,4212
SC,4219358,Alto Vale do Itajaí,42004,Alto Vale do Itajaí,4216
SC,4206405,Extremo Oeste,42001,Grande Oeste,4213
SC,4207700,Alto Uruguai Catarinense,42010,Meio Oeste e Serra Catarinense,4212
SC,4203907,Meio Oeste,42008,Meio Oeste e Serra Catarinense,4212
SC,4205555,Alto Vale do Rio do Peixe,42009,Meio Oeste e Serra Catarinense,4212
SC,4215679,Alto Vale do Itajaí,42004,Alto Vale do Itajaí,4216
SC,4215109,Médio Vale do Itajaí,42006,Alto Vale do Itajaí,4216
RS,4316972,Região 03 - Fronteira Oeste,43003,Centro-oeste,4314
RS,4307203,Região 16 - Alto Uruguai Gaúcho,43016,Norte,4311
RS,4322905,Região 16 - Alto Uruguai Gaúcho,43016,Norte,4311
RS,4319901,Região 07 - Vale dos Sinos,43007,Metropolitana,4313
RS,4319356,Região 08 - Vale do Caí e Metropolitana,43008,Metropolitana,4313
RS,4323804,Região 04 - Belas Praias,43004,Metropolitana,4313
RS,4315073,Região 14 - Fronteira Noroeste,43014,Missioneira,4312
RS,4313441,Região 15 - Caminho das Águas,43015,Norte,4311
RS,4323200,Região 17 - Planalto,43017,Norte,4311
RS,4313508,Região 05 - Bons Ventos,43005,Metropolitana,4313
RS,4307831,Região 11 - Sete Povos das Missões,43011,Missioneira,4312
RS,4316105,Região 20 - Rota da Produção,43020,Norte,4311
RS,4314100,Região 17 - Planalto,43017,Norte,4311
RS,4314704,Região 15 - Caminho das Águas,43015,Norte,4311
RS,4323606,Região 25 - Vinhedos e Basalto,43025,Serra,4310
RS,4320321,Região 14 - Fronteira Noroeste,43014,Missioneira,4312
RS,4318465,Região 29 - Vales e Montanhas,43029,Vales,4308
RS,4319364,Região 20 - Rota da Produção,43020,Norte,4311
RS,4313359,Região 26 - Uva Vale,43026,Serra,4310
RS,4312054,Região 29 - Vales e Montanhas,43029,Vales,4308
RS,4309126,Região 20 - Rota da Produção,43020,Norte,4311
RS,4323101,Região 15 - Caminho das Águas,43015,Norte,4311
RS,4319711,Região 29 - Vales e Montanhas,43029,Vales,4308
RS,4319737,Região 13 - Diversidade,43013,Missioneira,4312
RS,4316808,Região 28 - Vinte e Oito,43028,Vales,4308
RS,4314423,Região 23 - Caxias e Hortênsias,43023,Serra,4310
RS,4313086,Região 26 - Uva Vale,43026,Serra,4310
RS,4312450,Região 21 - Sul,43021,Sul,4309
RS,4311627,Região 07 - Vale dos Sinos,43007,Metropolitana,4313
RS,4310330,Região 05 - Bons Ventos,43005,Metropolitana,4313
RS,4307807,Região 30 - Vale da Luz,43030,Vales,4308
RS,4307864,Região 25 - Vinhedos e Basalto,43025,Serra,4310
RS,4304614,Região 29 - Vales e Montanhas,43029,Vales,4308
RS,4312955,Região 20 - Rota da Produção,43020,Norte,4311
RS,4311643,Região 23 - Caxias e Hortênsias,43023,Serra,4310
RS,4308904,Região 16 - Alto Uruguai Gaúcho,43016,Norte,4311
