uf,week,date,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
AC,1,2025-10-05,47,6,8.950000000000003,13,24,90,163,211,273.02499999999986
AC,2,2025-10-12,55,7,11,15.900000000000006,28,104,182,258,359.02499999999986
AC,3,2025-10-19,65,6.975000000000001,11,18,34,124,209.10000000000014,298.04999999999995,414.0749999999996
AC,4,2025-10-26,77.5,10,14,21,41,143,254.10000000000014,374,516.1499999999992
AC,5,2025-11-02,87,11,17,26,45,161,279.40000000000055,395.14999999999986,537.3249999999982
AC,6,2025-11-09,106,13,20,30,55.75,195,333,478.04999999999995,602.1999999999989
AC,7,2025-11-16,119,16,24,34.900000000000006,64,221.25,385,587.1499999999999,763.0999999999995
AC,8,2025-11-23,136,18.975,26,39,71,254.5,443,637,788.0499999999997
AC,9,2025-11-30,148,19,27,42,77.75,284,489.10000000000014,676.0999999999999,996.0999999999995
AC,10,2025-12-07,169,22,30,45,90,301.25,523.2000000000003,754.0999999999999,980.0249999999999
AC,11,2025-12-14,176,24.975,33,48,95,329,568.2000000000003,822.05,1094.199999999999
AC,12,2025-12-21,193.5,24.975,36,57,105,349.25,613.1000000000001,810.05,1108.0249999999999
AC,13,2025-12-28,188,25,36,53,99,356.25,636.1000000000001,900,1158.0249999999999
AC,14,2026-01-04,210,27,40.95,60,112,367.25,658.2000000000003,960.05,1332.4499999999975
AC,15,2026-01-11,219,27.975,39,60.900000000000006,114,404,697.1000000000001,962,1328.1499999999992
AC,16,2026-01-18,236.5,30,45,68,125,436.5,732.4000000000005,1035,1395.0499999999997
AC,17,2026-01-25,242,27,40,64.9,128,439.25,777,1088.1499999999999,1435.4249999999977
AC,18,2026-02-01,244.5,30.975,43.95,65,128.75,436.25,774.4000000000005,1079.1999999999998,1451.0749999999996
AC,19,2026-02-08,220,30.975,39,60,116.75,415,737.1000000000001,996.1499999999999,1362.0999999999995
AC,20,2026-02-15,217,27,39,60,114,410,681,956.4999999999995,1319.3999999999978
AC,21,2026-02-22,195.5,23,37,55,102,354.25,652.4000000000005,918.3499999999997,1165.174999999999
AC,22,2026-03-01,178.5,23,33,51,94.75,323,568.2000000000003,773.3999999999996,1087.5249999999971
AC,23,2026-03-08,162,20,31,45,85,299.25,533,744.1499999999999,1045.349999999998
AC,24,2026-03-15,142,19,27,41,76,263,455.10000000000014,617.1999999999998,856.3999999999978
AC,25,2026-03-22,126,16,24,37,66,234.5,406.10000000000014,545.1999999999998,743
AC,26,2026-03-29,112,15,21,31,58,212,367.3000000000004,514.05,706.0749999999996
AC,27,2026-04-05,95,12,18.950000000000003,28,51,176,333.10000000000014,445.04999999999995,587.2249999999988
AC,28,2026-04-12,90,10,15.950000000000003,25,46.75,170,297.10000000000014,417.04999999999995,537
AC,29,2026-04-19,81,10,14,22,40,154,258,362.2999999999997,481.0749999999996
AC,30,2026-04-26,73,8,12,20.900000000000006,37,132,233,334.04999999999995,449.0499999999997
AC,31,2026-05-03,66,9,13,19,34,126,209.10000000000014,290.04999999999995,408.0499999999997
AC,32,2026-05-10,61,7,11,16,32,107,186.10000000000014,266.14999999999986,391.02499999999986
AC,33,2026-05-17,53,7,10,14,28,101,171.10000000000014,238.04999999999995,321.0749999999996
AC,34,2026-05-24,46,6,8,12,24,85,153,212.04999999999995,283.17499999999905
AC,35,2026-05-31,43,5,7,11,22,77,134,197.0999999999999,258.09999999999945
AC,36,2026-06-07,37,4,6,9,19,67,121.10000000000014,166,222.12499999999932
AC,37,2026-06-14,33,4,6,8,16,61,109,155,203
AC,38,2026-06-21,30,3,5,8,15,56,101,139.04999999999995,178.02499999999986
AC,39,2026-06-28,27,3,4,7,14,52,87.10000000000014,122.04999999999995,170
AC,40,2026-07-05,26.5,3,4,7,14,50,85.10000000000014,122,171.02499999999986
AC,41,2026-07-12,25,3,4,7,12,46,84,115.04999999999995,157.1999999999989
AC,42,2026-07-19,24,3,4,6,12,45,77,107,141.02499999999986
AC,43,2026-07-26,23,2,4,6,12,44,76,109,150
AC,44,2026-08-02,22,2,4,6,11,43,74,102,137.02499999999986
AC,45,2026-08-09,22,2,3,6,11,41,71.10000000000014,99.04999999999995,128.12499999999932
AC,46,2026-08-16,22,2,3,5,11,41,70,100.04999999999995,140.02499999999986
AC,47,2026-08-23,22,2,3,6,11,41,72,102.04999999999995,141
AC,48,2026-08-30,23,2,3,5.900000000000006,12,43.25,78,109.04999999999995,147.04999999999973
AC,49,2026-09-06,26,2,4,7,13,47,83,111.04999999999995,153.02499999999986
AC,50,2026-09-13,27,3,4,7,14,52,90,126.04999999999995,174.04999999999973
